prodi pilihan 1,prodi pilihan 2,prodi pilihan 3
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Sumatera Utara Medan - Ilmu Al-Qur'an dan Tafsir,UIN Sumatera Utara Medan - Perbandingan Mazhab
UIN Sunan Gunung Djati Bandung  - Ilmu Al-Quran dan Tafsir,UIN Sunan Kalijaga Yogyakarta  - Aqidah dan Filsafat Islam,UIN Sumatera Utara Medan - Perbandingan Mazhab
UIN Walisongo Semarang  - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Manajemen Pendidikan Islam,UIN Maulana Malik Ibrahim Malang  - Ilmu Alqur'an dan Tafsir
UIN Walisongo Semarang  - Ilmu Falak,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Syarif Hidayatullah Jakarta - Pendidikan Bahasa Arab
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sunan Kalijaga Yogyakarta  - Pendidikan Bahasa Arab,UIN Ar-Raniry Banda Aceh - Hukum Keluarga
UIN Sumatera Utara Medan - Ekonomi Islam,UIN Syarif Hidayatullah Jakarta - Ekonomi Syariah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI),UIN Ar-Raniry Banda Aceh - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Perbandingan Madzhab,UIN Maulana Malik Ibrahim Malang  - Ilmu Alqur'an dan Tafsir,UIN Syarif Hidayatullah Jakarta - Perbandingan Mazhab
UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,IAIN Surakarta - Sastra Inggris,IAIN Surakarta - Pendidikan Agama Islam
UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sumatera Utara Medan - Hukum Ekonomi Syari'ah (Muamalah),UIN Imam Bonjol Padang - Perbankan Syariah
UIN Sumatera Utara Medan - Sejarah Peradaban Islam,UIN Sultan Syarif Kasim Riau  - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Ilmu Hadis
UIN Sumatera Utara Medan - Manajemen Pendidikan Islam,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam,UIN Ar-Raniry Banda Aceh - Pendidikan Agama Islam
UIN Syarif Hidayatullah Jakarta - Ilmu al-Quran dan Tafsir,UIN Ar-Raniry Banda Aceh - Pengembangan Masyarakat Islam,UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah)
UIN Sumatera Utara Medan - Pendidikan Guru Madrasah Ibtidaiyah,IAIN Malikussaleh Lhokseumawe  - Pendidikan Bahasa Arab,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)
UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sumatera Utara Medan - Komunikasi dan Penyiaran Islam,IAIN Ponorogo  - Tadris Bahasa Inggris
UIN Sumatera Utara Medan - Aqidah dan Filsafat Islam,UIN Sumatera Utara Medan - Manajemen Dakwah,UIN Sunan Kalijaga Yogyakarta  - Aqidah dan Filsafat Islam
UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),UIN Sunan Gunung Djati Bandung  - Ekonomi Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Ekonomi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Pengembangan Masyarakat Islam
UIN Sumatera Utara Medan - Ilmu Al-Qur'an dan Tafsir,UIN Walisongo Semarang  - Ilmu Al Qur'an dan Tafsir (Tafsir Hadits),UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir
UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah)
UIN Sunan Kalijaga Yogyakarta  - Hukum Keluarga Islam (Ahwal Syakhsiyyah),UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah,UIN Maulana Malik Ibrahim Malang  - Hukum Keluarga Islam (Ahwal Syakhshiyyah)
UIN Sunan Gunung Djati Bandung  - Hukum Tatanegara (Siyasah),UIN Sunan Gunung Djati Bandung  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Hukum Tatanegara (Siyasah)
UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),UIN Ar-Raniry Banda Aceh - Hukum Ekonomi Syari'ah,IAIN Surakarta - Hukum Ekonomi Syariah 
UIN Sunan Kalijaga Yogyakarta  - Hukum Ekonomi Syari'ah (Muamalah),UIN Sumatera Utara Medan - Hukum Ekonomi Syari'ah (Muamalah),UIN Sumatera Utara Medan - Perbankan Syari'ah
UIN Sumatera Utara Medan - Akuntansi Syari'ah,UIN Sunan Gunung Djati Bandung  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Manajemen Keuangan Syari'ah
UIN Sunan Kalijaga Yogyakarta  - Ilmu Al-Qur'an dan Tafsir,UIN Ar-Raniry Banda Aceh - Ilmu Al-Qur'an dan Tafsir,UIN Sumatera Utara Medan - Ilmu Al-Qur'an dan Tafsir
IAIN Zawiyah Cot Kala Langsa  - Bimbingan dan Konseling Islam,IAIN Bukittinggi - Bimbingan dan Konseling,UIN Sunan Kalijaga Yogyakarta  - Bimbingan dan Konseling Islam
UIN Sumatera Utara Medan - Pendidikan Guru Madrasah Ibtidaiyah,UIN Ar-Raniry Banda Aceh - Pendidikan Agama Islam,UIN Sunan Kalijaga Yogyakarta  - Pendidikan Guru Madrasah Ibtidaiyah (PGMI)
UIN Maulana Malik Ibrahim Malang  - Perbankan Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Perbankan Syari'ah,UIN Sumatera Utara Medan - Perbankan Syari'ah
UIN Raden Intan Bandar Lampung  - Psikologi Islam,UIN Sunan Kalijaga Yogyakarta  - Komunikasi dan Penyiaran Islam,UIN Sumatera Utara Medan - Komunikasi dan Penyiaran Islam
UIN Sunan Gunung Djati Bandung  - Akuntansi Syari'ah,UIN Sunan Kalijaga Yogyakarta  - Akuntansi Syari'ah,UIN Sumatera Utara Medan - Akuntansi Syari'ah
